pl_name,hostname,default_flag,pl_bmassprov,pl_controv_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim
HAT-P-30 b,HAT-P-30,0,Mass,0,15.02,0.729,-0.729,0,225.968,8.899,-8.899,0,2.810595,5e-06,-5e-06,0,1630.0,42.0,-42.0,0,6304.0,88.0,-88.0,0,1.22,0.05,-0.05,0,1.24,0.04,-0.04,0,4.36,0.03,-0.03,0
HAT-P-8 b,HAT-P-8,0,Mass,0,,,,0,414.45032,20.65895,-20.34112,0,,,,0,,,,0,,,,0,,,,0,1.19,0.07,-0.07,0,,,,0
HD 209458 b,HD 209458,1,Mass,0,15.581,0.224,-0.224,0,232.0159,12.7132,-12.7132,0,3.52474859,3.8e-07,-3.8e-07,0,,,,0,6091.0,10.0,-10.0,0,1.19,0.02,-0.02,0,1.23,0.09,-0.09,0,4.45,0.02,-0.02,0
HD 209458 b,HD 209458,0,Mass,0,15.244,,,0,219.3027,,,0,3.52,,,0,1450.0,,,0,6052.0,101.98,-99.29,0,1.19,0.04,-0.05,0,1.13,0.18,-0.13,0,4.34,0.07,-0.07,0
WASP-21 b,WASP-21,1,Mass,0,11.99,0.56,-0.56,0,95.345,3.496,-3.496,0,4.322482,1.9e-05,-2.4e-05,0,,,,0,,,,0,,,,0,,,,0,,,,0
XO-1 b,XO-1,1,Mass,0,12.778,0.785,-0.785,0,263.7989,41.3179,-41.3179,0,3.94153,2.7e-05,-2.7e-05,0,,,,0,5750.0,75.0,-75.0,0,0.88,0.05,-0.05,0,0.88,0.19,-0.19,0,4.51,0.02,-0.02,0
HATS-4 b,HATS-4,0,Mass,0,11.433,0.415,-0.415,0,416.03947,12.7132,-12.39537,0,2.516729,2e-06,-2e-06,0,,,,0,5403.0,50.0,-50.0,0,0.93,0.02,-0.02,0,1.0,0.02,-0.02,0,,,,0
WASP-1 b,WASP-1,0,Mass,0,,,,0,251.0857,10.48839,-10.48839,0,,,,0,,,,0,,,,0,,,,0,1.27,0.05,-0.05,0,,,,0
WASP-1 b,WASP-1,0,Mass,0,16.735,0.684,-1.02,0,311.4734,15.25584,-13.66669,0,2.5199464,8e-07,-8e-07,0,1830.0,33.0,-49.0,0,6213.0,51.0,-51.0,0,1.47,0.05,-0.08,0,1.26,0.05,-0.03,0,4.21,0.05,-0.03,0
WASP-1 b,WASP-1,0,Mass,0,16.242,0.46,-0.46,0,268.88418,17.16282,-17.16282,0,2.51994529,5.6e-07,-5.6e-07,0,1812.0,14.0,-14.0,0,6110.0,,,0,,,,0,,,,0,4.19,,,0
HAT-P-56 b,HAT-P-56,0,Mass,0,16.432,0.448,-0.448,0,603.877,69.9226,-88.9924,0,2.7908327,4.7e-06,-4.7e-06,0,,,,0,6566.0,50.0,-50.0,0,1.43,0.03,-0.03,0,1.3,0.04,-0.04,0,,,,0
