,m,T,a,p,wf,sys,ims
242,0.3821466565132141,189.94782993518302,0.22450000047683716,65.67430895153116,0.0,"('Gen-I', 'run_04')","{'collision_time': array([0.02260288]), 'mass_i': array([0.38214666]), 'mass_j': array([0.36314014]), 'particle_i': array([3], dtype=int64), 'particle_j': array([2], dtype=int64)}"
248,0.47299495339393616,165.36743001935628,0.2962000072002411,99.52875909427009,0.0,"('Gen-I', 'run_06')","{'collision_time': array([0.07785461, 0.09142774, 0.29315194]), 'mass_i': array([0.47299495, 0.87550634, 1.29985034]), 'mass_j': array([0.40251139, 0.424344  , 0.74528679]), 'particle_i': array([7, 7, 7], dtype=int64), 'particle_j': array([4, 5, 3], dtype=int64)}"
256,0.4025113880634308,185.10526832562482,0.23639999330043793,70.96466911568177,0.0,"('Gen-I', 'run_09')","{'collision_time': array([0.0123978, 0.0455423]), 'mass_i': array([0.40251139, 0.78465804]), 'mass_j': array([0.38214666, 0.36314014]), 'particle_i': array([4, 4], dtype=int64), 'particle_j': array([3, 2], dtype=int64)}"
258,0.424344003200531,178.12181608884552,0.25529998540878296,79.64292051261057,0.0,"('Gen-I', 'run_10')","{'collision_time': array([0.01485486]), 'mass_i': array([0.424344]), 'mass_j': array([0.40251139]), 'particle_i': array([5], dtype=int64), 'particle_j': array([4], dtype=int64)}"
261,0.44778791069984436,172.25077492723858,0.27300000190734863,88.06735791773423,0.0,"('Gen-I', 'run_11')","{'collision_time': array([0.00695388, 0.01018751, 0.02544247]), 'mass_i': array([0.44778791, 0.87213191, 1.2746433 ]), 'mass_j': array([0.424344  , 0.40251139, 0.38214666]), 'particle_i': array([6, 6, 6], dtype=int64), 'particle_j': array([5, 4, 3], dtype=int64)}"
271,0.424344003200531,178.22655940217484,0.2549999952316284,79.50258517051837,0.0,"('Gen-I', 'run_14')","{'collision_time': array([0.0072881 , 0.19739561]), 'mass_i': array([0.424344  , 0.82685539]), 'mass_j': array([0.40251139, 0.74528679]), 'particle_i': array([5, 5], dtype=int64), 'particle_j': array([4, 3], dtype=int64)}"
276,0.3821466565132141,191.44603305374596,0.22100000083446503,64.14449720462538,0.0,"('Gen-I', 'run_16')","{'collision_time': array([0.01204377]), 'mass_i': array([0.38214666]), 'mass_j': array([0.36314014]), 'particle_i': array([3], dtype=int64), 'particle_j': array([2], dtype=int64)}"
281,0.424344003200531,177.98243826005776,0.2556999921798706,79.83017189209897,0.0,"('Gen-I', 'run_18')","{'collision_time': array([0.00744858, 0.03864305]), 'mass_i': array([0.424344  , 0.82685539]), 'mass_j': array([0.40251139, 0.38214666]), 'particle_i': array([5, 5], dtype=int64), 'particle_j': array([4, 3], dtype=int64)}"
291,0.4025113880634308,185.65582456202856,0.23499999940395355,70.33520928304497,0.0,"('Gen-I', 'run_22')","{'collision_time': array([0.01877829, 0.0724981 ]), 'mass_i': array([0.40251139, 0.78465804]), 'mass_j': array([0.38214666, 0.36314014]), 'particle_i': array([4, 4], dtype=int64), 'particle_j': array([3, 2], dtype=int64)}"
294,0.3821466565132141,191.1435576593929,0.22169999778270721,64.44949599379137,0.0,"('Gen-I', 'run_23')","{'collision_time': array([0.02555642]), 'mass_i': array([0.38214666]), 'mass_j': array([0.36314014]), 'particle_i': array([3], dtype=int64), 'particle_j': array([2], dtype=int64)}"
298,0.47299495339393616,165.70343490453342,0.29499998688697815,98.92452811633288,0.0,"('Gen-I', 'run_25')","{'collision_time': array([0.0147921 , 0.02609408, 0.1454183 ]), 'mass_i': array([0.47299495, 0.92078286, 1.74763826]), 'mass_j': array([0.44778791, 0.82685539, 0.74528679]), 'particle_i': array([7, 7, 7], dtype=int64), 'particle_j': array([6, 5, 3], dtype=int64)}"
307,0.4025113880634308,185.4980183594757,0.2354000061750412,70.51486797873882,0.0,"('Gen-I', 'run_28')","{'collision_time': array([0.00618182, 0.07702024]), 'mass_i': array([0.40251139, 0.78465804]), 'mass_j': array([0.38214666, 0.36314014]), 'particle_i': array([4, 4], dtype=int64), 'particle_j': array([3, 2], dtype=int64)}"
311,0.424344003200531,178.36651198225007,0.25459998846054077,79.3155904746187,0.0,"('Gen-I', 'run_29')","{'collision_time': array([0.0067191 , 0.03338551, 0.10671196]), 'mass_i': array([0.424344  , 0.82685539, 1.20900205]), 'mass_j': array([0.40251139, 0.38214666, 0.36314014]), 'particle_i': array([5, 5, 5], dtype=int64), 'particle_j': array([4, 3, 2], dtype=int64)}"
314,0.4025113880634308,185.18361525349306,0.2362000048160553,70.87463665974285,0.0,"('Gen-I', 'run_30')","{'collision_time': array([0.02174571]), 'mass_i': array([0.40251139]), 'mass_j': array([0.38214666]), 'particle_i': array([4], dtype=int64), 'particle_j': array([3], dtype=int64)}"
323,0.4025113880634308,184.75391335776646,0.23729999363422394,71.37030983583968,0.0,"('Gen-I', 'run_33')","{'collision_time': array([0.01770807, 0.0420596 ]), 'mass_i': array([0.40251139, 0.78465804]), 'mass_j': array([0.38214666, 0.36314014]), 'particle_i': array([4, 4], dtype=int64), 'particle_j': array([3, 2], dtype=int64)}"
