,m,T,a,p,wf,sys,ims
3034,0.1560508757829666,484.1386589698565,0.3321000039577484,69.9050153841549,,"('Gen-O-s22', 'run_45')","{'collision_time': array([0.00608911, 0.08818589]), 'mass_i': array([0.15605088, 0.30629772]), 'mass_j': array([0.15024684, 0.12514102]), 'particle_i': array([49, 49], dtype=int64), 'particle_j': array([48, 43], dtype=int64)}"
3040,0.051678676158189774,1011.3742148547509,0.07609999924898148,7.667998039881708,,"('Gen-O-s22', 'run_46')","{'collision_time': array([0.00183933, 0.00207174, 0.03581682, 0.98096456]), 'mass_i': array([0.05167868, 0.10201601, 0.1510584 , 0.24543215]), 'mass_j': array([0.05033733, 0.04904239, 0.09437375, 0.11751649]), 'particle_i': array([14, 14, 14, 14], dtype=int64), 'particle_j': array([13, 12, 11,  4], dtype=int64)}"
3041,0.08949852734804153,701.4568643487964,0.1581999957561493,22.98342329607605,,"('Gen-O-s22', 'run_46')","{'collision_time': array([0.00282566, 0.0195639 , 0.04744141]), 'mass_i': array([0.08949853, 0.17099457, 0.25504845]), 'mass_j': array([0.08149604, 0.08405387, 0.24244831]), 'particle_i': array([33, 33, 33], dtype=int64), 'particle_j': array([30, 31, 32], dtype=int64)}"
3042,0.1621670424938202,473.76683889917535,0.3467999994754791,74.59739239833671,,"('Gen-O-s22', 'run_46')","{'collision_time': array([0.02361015, 0.09137137, 0.28182508, 0.86112077]), 'mass_i': array([0.16216704, 0.30688825, 0.46293913, 0.84958221]), 'mass_j': array([0.14472121, 0.15605088, 0.38664308, 0.15024684]), 'particle_i': array([50, 50, 50, 50], dtype=int64), 'particle_j': array([47, 49, 46, 48], dtype=int64)}"
3047,0.05915305018424988,926.9154203643114,0.09059999883174896,9.960870698397953,,"('Gen-O-s22', 'run_47')","{'collision_time': array([0.00487972, 0.00500016, 0.00899027, 0.97472684]), 'mass_i': array([0.05915305, 0.11366119, 0.22720933, 0.27888801]), 'mass_j': array([0.05450814, 0.11354814, 0.05167868, 0.15862726]), 'particle_i': array([19, 19, 19, 19], dtype=int64), 'particle_j': array([16, 18, 14,  5], dtype=int64)}"
3048,0.09542910754680634,675.0878154535636,0.17080000042915344,25.78319989233774,,"('Gen-O-s22', 'run_47')","{'collision_time': array([0.00486134, 0.01277076, 0.1457334 , 0.25550141]), 'mass_i': array([0.09542911, 0.18492763, 0.35570457, 0.57905187]), 'mass_j': array([0.08949853, 0.17077693, 0.2233473 , 0.25293773]), 'particle_i': array([35, 35, 35, 35], dtype=int64), 'particle_j': array([33, 32, 28, 34], dtype=int64)}"
3053,0.13445447385311127,535.9441805225132,0.2709999978542328,51.52985799199197,,"('Gen-O-s22', 'run_48')","{'collision_time': array([0.02221926, 0.02384109, 9.17824499]), 'mass_i': array([0.13445447, 0.2595955 , 0.51008847]), 'mass_j': array([0.12514102, 0.25049297, 0.46793836]), 'particle_i': array([45, 45, 45], dtype=int64), 'particle_j': array([43, 44, 31], dtype=int64)}"
3060,0.0840538740158081,733.7025877974751,0.1446000039577484,20.084335697466848,,"('Gen-O-s22', 'run_49')","{'collision_time': array([0.00208163, 0.03068524, 0.03735005, 0.61669156, 1.96451887]), 'mass_i': array([0.08405387, 0.16073798, 0.31447736, 0.45510031, 0.69212504]), 'mass_j': array([0.0766841 , 0.15373939, 0.14062295, 0.23702473, 0.436535  ]), 'particle_i': array([31, 31, 31, 31, 31], dtype=int64), 'particle_j': array([28, 30, 27, 21, 13], dtype=int64)}"
3061,0.10894372314214706,615.6076079215228,0.2054000049829483,34.002095997225794,,"('Gen-O-s22', 'run_49')","{'collision_time': array([0.01162912, 0.02995619, 0.03511936, 0.0399266 , 0.04423712,
       0.10973655]), 'mass_i': array([0.10894372, 0.21082644, 0.30322699, 0.40856006, 0.58478165,
       0.68336585]), 'mass_j': array([0.10188272, 0.09240054, 0.10533307, 0.17622159, 0.0985842 ,
       0.07904115]), 'particle_i': array([39, 39, 39, 39, 39, 39], dtype=int64), 'particle_j': array([37, 34, 38, 33, 36, 29], dtype=int64)}"
3069,0.07904114574193954,762.1699092752744,0.1340000033378601,17.916873533924008,,"('Gen-O-s22', 'run_50')","{'collision_time': array([0.00451851, 0.0198319 , 0.34196172]), 'mass_i': array([0.07904115, 0.14919233, 0.28957485]), 'mass_j': array([0.07015119, 0.14038252, 0.29302521]), 'particle_i': array([29, 29, 29], dtype=int64), 'particle_j': array([25, 26, 21], dtype=int64)}"
