name,host,p,a,m,rp,g,dp,T,teff,ms,rs,logg,met,ref,pe,ae+,ae-,me+,me-,rpe+,rpe-,ge+,ge-,dpe+,dpe-,Te+,Te-,teffe+,teffe-,mse+,mse-,rse+,rse-,logge+,logge-,mete+,mete-,rpe,me,rpe%,me%,dpe,fp,fpe,fpe+,fpe-,Te,rse,mse,teffe,Host type,Likely nature,wwprob_migrationA_photev,wwprob_migrationB_photev,wwprob_migrationB_impact,namealt,sp
HD 95338 b,HD 095338,55.087,0.262,42.42849967,3.893850887,,0.544168329,385,5212,0.83,0.87,4.54,0.04,2020MNRAS.496.4330D,0.02,0.002,0.002,2.224715338,2.0658071,0.190765029,0.201986501,,,0.085253038,0.087066933,17,17,16,11,0.02,0.02,0.04,0.04,0.21,0.21,0.1,0.1,0.196375765,2.145261219,5.043227666,5.056179775,0.086159985,1.414073022,0.100984121,0.100984121,0.100984121,17,0.04,0.02,13.5,G,gas-rich,"(55.0, 7.5)","(89.9, 7.7)","(91.9, 12.0)",,
HD 110113 b,HD 110113,2.541,0.035,4.54477562,2.05352943,,0.39724288,1371,5732,0.997,0.968,4.46,0.14,2021MNRAS.502.4842O,0.001,0.001,0.001,0.635632954,0.635632954,0.123436195,0.123436195,,,0.103391983,0.079811355,14,14,50,50,0.06,0.06,0.018,0.018,0.05,0.05,0.02,0.02,0.123436195,0.635632954,6.010928962,13.98601399,0.091601669,1.36393874,0.20763245,0.20763245,0.20763245,14,0.018,0.06,50,G,gas-rich,"(0.6, 1.8)","(0.1, 0.3)","(0.3, 0.3)",,
HD 119130 b,HD 119130,16.9841,0.13,24.47186872,2.63704599,34.8,1.015780882,795,5725,1,1.09,4.33,0.07,2019A+A...623A.114L,0.0008,0.01,0.01,4.449430676,4.449430676,0.112214723,0.100993251,6.8,6.6,0.217667332,0.199528387,33,28,65,65,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.106603987,4.449430676,4.042553191,18.18181818,0.20859786,1.111225662,0.206974766,0.206974766,0.206974766,30.5,0.03,0.03,65,G,gas-rich,"(32.0, 27.3)","(50.2, 37.1)","(36.4, 26.2)",,
HD 136352 b,HD 136352,11.577794,0.0963,4.67190221,1.645067839,,0.796299655,905,5664,0.876,1.054,4.39,-0.24,2023A+A...671A.154E,2.40E-05,0.0021,0.0021,0.41316142,0.41316142,0.034786564,0.034786564,,,0.090694722,0.090694722,14,14,61,61,0.026,0.032,0.014,0.014,0.11,0.11,0.05,0.05,0.034786564,0.41316142,2.114597544,8.843537415,0.090694722,1.084524973,0.098614083,0.098614083,0.098614083,14,0.014,0.029,61,G,bare rocky,"(27.0, 33.8)","(22.7, 30.2)","(26.5, 35.5)",,
HD 136352 c,HD 136352,27.592086,0.1717,11.21892163,2.855864699,,0.360964992,677,5664,0.876,1.054,4.39,-0.24,2023A+A...671A.154E,4.80E-05,0.0037,0.0037,0.603851306,0.572069658,0.058351656,0.057229509,,,0.030836205,0.027208416,11,11,61,61,0.026,0.032,0.014,0.014,0.11,0.11,0.05,0.05,0.057790582,0.587960482,2.023575639,5.240793201,0.029022311,1.485822932,0.083472009,0.083472009,0.083472009,11,0.014,0.029,61,G,gas-rich,"(44.2, 6.8)","(68.8, 9.7)","(77.9, 2.2)",,
HD 137496 b,HD 137496,1.62116,0.02732,4.036269257,1.312912259,,1.432976601,2130,5799,1.04,1.59,4.05,-0.03,2022A+A...657A..68A,8.00E-05,0.00019,0.00019,0.540288011,0.540288011,0.056107361,0.044885889,,,0.290223109,0.25394522,30,29,61,61,0.02,0.02,0.03,0.03,0.1,0.1,0.04,0.04,0.050496625,0.540288011,3.846153846,13.38582677,0.272084165,0.900445205,0.12540886,0.12540886,0.12540886,29.5,0.03,0.02,61,G,bare rocky,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",,
HD 183579 b,HD 183579,17.471291,0.1334,20.40381782,3.494366473,,0.326500998,752,5788,1.031,0.985,4.5,-0.023,2023A+A...671L...8B,2.80E-05,0.0062,0.0063,2.606095111,2.510750167,0.069573128,0.006396239,,,0.077997461,0.074369672,10,10,44,44,0.025,0.026,0.037,0.026,0.03,0.03,0.05,0.05,0.037984684,2.558422639,1.087026333,12.53894081,0.076183566,1.54665121,0.194661071,0.194661071,0.194661071,10,0.0315,0.0255,44,G,gas-rich,"(42.7, 18.9)","(48.6, 12.8)","(55.2, 13.2)",,
HD 191939 b,HD 191939,8.8803256,0.0804,10.01121902,3.413571873,8.4,0.19227281,880,5427,0.92,0.945,4.4,-0.16,2023A+A...669A..40O,4.70E-06,0.0025,0.0023,0.699196249,0.699196249,0.075183864,0.075183864,0.8,0.7,0.019952839,0.018138944,20,20,50,50,0.06,0.06,0.021,0.021,0.1,0.1,0.08,0.08,0.075183864,0.699196249,2.202498356,6.984126984,0.019045892,1.831501039,0.134124197,0.134124197,0.134124197,20,0.021,0.06,50,G,gas-rich,"(29.8, 8.4)","(32.8, 10.8)","(36.6, 4.8)",,
HD 191939 c,HD 191939,28.579743,0.1752,8.008975218,3.198119604,7.7,0.185017232,600,5427,0.92,0.945,4.4,-0.16,2023A+A...669A..40O,4.50E-05,0.0055,0.005,0.985231078,0.985231078,0.075183864,0.075183864,1.1,1,0.027208416,0.027208416,13,13,50,50,0.06,0.06,0.021,0.021,0.1,0.1,0.08,0.08,0.075183864,0.985231078,2.350877193,12.3015873,0.027208416,1.822572089,0.228262638,0.228262638,0.228262638,13,0.021,0.06,50,G,gas-rich,"(55.4, 7.2)","(75.3, 6.3)","(81.1, 2.9)",,
HD 191939 d,HD 191939,38.353037,0.2132,2.796784997,2.998377398,3.1,0.077997461,540,5427,0.92,0.945,4.4,-0.16,2023A+A...669A..40O,6.00E-05,0.0065,0.0061,0.603851306,0.603851306,0.069573128,0.069573128,0.7,0.7,0.018138944,0.018138944,11,11,50,50,0.06,0.06,0.021,0.021,0.1,0.1,0.08,0.08,0.069573128,0.603851306,2.320359281,21.59090909,0.018138944,2.270741122,0.493096766,0.493096766,0.493096766,11,0.021,0.06,50,G,gas-rich,"(64.9, 12.4)","(85.9, 10.0)","(88.9, 4.2)",,
HD 213885 b,HD 213885,1.008035,0.0568,8.835298058,1.747183237,28.5,1.251587158,1265,5978,1.068,1.1101,4.3827,-0.04,2020MNRAS.491.2982E,2.10E-05,0.00044,0.00032,0.667414601,0.635632954,0.050496625,0.051618773,2.8,2.7,0.145111555,0.145111555,7,8,50,50,0.02,0.018,0.008,0.0075,0.0095,0.0097,0.03,0.03,0.051057699,0.651523778,2.922286448,7.374100719,0.145111555,0.969623189,0.076910814,0.076910814,0.076910814,7.5,0.00775,0.019,50,G,bare rocky,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",,
K2-93 b,K2-093,15.57209,0.1283,6.896617549,2.597770837,,0.297478687,959,6320,1.16,1.273,4.294,-0.1,arXiv:1911.07355,2.00E-05,0.0015,0.0015,0.889886135,0.889886135,0.035908711,0.035908711,,,0.038091783,0.038091783,9,5,60,30,0.04,0.04,0.015,0.015,0.006,0.006,0.07,0.07,0.035908711,0.889886135,1.382289417,12.90322581,0.038091783,1.541496063,0.200040794,0.200040794,0.200040794,7,0.015,0.04,45,G,gas-rich,"(36.2, 14.0)","(45.4, 13.5)","(53.5, 11.0)",,
K2-106 b,K2-106,0.571302,0.01332,8.517481581,1.712396672,28.5,1.287865046,2275,5508,0.96,0.98,4.44,-0.03,arXiv:2208.07328,1.60E-05,0.00028,0.00029,1.017012726,1.017012726,0.069573128,0.057229509,4.1,4,0.217667332,0.199528387,36,32,70,70,0.063,0.062,0.024,0.022,0.033,0.037,0.01,0.01,0.063401318,1.017012726,3.70249017,11.94029851,0.20859786,0.959773854,0.119982927,0.119982927,0.119982927,34,0.023,0.0625,70,G,bare rocky,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",,
K2-131 b,K2-131,0.3693038,0.009324171,6.292766242,1.652922869,,1.05205877,,5200,0.793,0.744,4.62,-0.02,2019ApJ...883...79D,9.10E-06,0.000376259,0.000376259,1.398392498,1.398392498,0.065084539,0.056107361,,,0.362778886,0.362778886,,,100,100,0.024,0.04,0.01,0.009,0.1,0.1,0.08,0.08,0.06059595,1.398392498,3.66598778,22.22222222,0.362778886,1.005424476,0.226447536,0.226447536,0.226447536,,0.0095,0.032,100,G,bare rocky,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",,
K2-138 c,K2-138,3.56004,0.04461,6.292766242,2.300401821,,0.380917831,1140,5350,0.93,0.86,4.54,0.14,2019A+A...631A..90L,0.00012,0.0003,0.00038,1.112357669,1.207702612,0.123436195,0.089771778,,,0.092508616,0.083439144,21,17,80,80,0.02,0.02,0.03,0.02,0.02,0.04,0.1,0.1,0.106603987,1.160030141,4.634146341,18.43434343,0.08797388,1.399266922,0.265971282,0.265971282,0.265971282,19,0.025,0.02,80,G,gas-rich,"(6.4, 12.7)","(1.5, 4.1)","(1.8, 1.2)",,
K2-138 d,K2-138,5.40479,0.05893,7.913630275,2.390173599,,0.42989298,992,5350,0.93,0.86,4.54,0.14,2019A+A...631A..90L,0.00021,0.0004,0.0005,1.398392498,1.303047555,0.100993251,0.078550306,,,0.09432251,0.081625249,18,15,80,80,0.02,0.02,0.03,0.02,0.02,0.04,0.1,0.1,0.089771778,1.350720027,3.755868545,17.06827309,0.08797388,1.366548931,0.238826661,0.238826661,0.238826661,16.5,0.025,0.02,80,G,gas-rich,"(16.3, 21.8)","(7.1, 10.9)","(8.1, 4.8)",,
K2-138 e,K2-138,8.26146,0.0782,12.9986939,3.388884633,,0.244875748,861,5350,0.93,0.86,4.54,0.14,2019A+A...631A..90L,0.00022,0.00053,0.00066,2.002243804,2.002243804,0.134657668,0.112214723,,,0.04897515,0.043533466,16,13,80,80,0.02,0.02,0.03,0.02,0.02,0.04,0.1,0.1,0.123436195,2.002243804,3.642384106,15.40342298,0.046254308,1.694348752,0.268185169,0.268185169,0.268185169,14.5,0.025,0.02,80,G,gas-rich,"(24.5, 11.6)","(28.2, 13.9)","(29.5, 9.1)",,
K2-222 b,K2-222,15.38857,0.118605488,7.945411922,2.356509182,14.2,0.471612552,878,5942,0.94,1.072,4.35,-0.315,2022AJ....163...41N,0.00088,0.006308806,0.006308806,1.906898861,1.906898861,0.078550306,0.067328834,3.3,3.3,0.108833666,0.108833666,17,16,119,119,0.05,0.05,0.043,0.043,0.02,0.02,0.06,0.06,0.07293957,1.906898861,3.095238095,24,0.108833666,1.345843089,0.325677482,0.325677482,0.325677482,16.5,0.043,0.05,119,G,gas-rich,"(40.0, 23.3)","(38.6, 26.5)","(49.6, 20.2)",,
