System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
HATS-19,TEP,147.40679,-33.2185,13.03,11.51,0.1666,1.3,2456660.034,0.00059,4.569673,0.00001,5896,77,77,0.24,0.05,0.05,1.303,0.083,0.083,1.75,0.25,0.25,4.07,0.1,0.1,0.24,0.1,0.1,0.3,0.1,0.1,0.0589,0.0013,0.0013,0.427,0.071,0.071,1.66,0.27,0.21,3.8,0.98,0.78,0.087,0.031,0.031,1570,110,110,-999,-999,-999,-999,-999,-999
HATS-20,TEP,198.1335,-45.59056,13.77,11.86,0.1022,1,2457121.165,0.00055,3.7992969,0.0000079,5406,49,49,0.03,0.05,0.05,0.91,0.026,0.026,0.892,0.057,0.04,4.497,0.052,0.052,1.28,0.21,0.21,0,0.501,0,0.04619,0.00044,0.00044,0.273,0.035,0.035,0.776,0.055,0.055,11.2,2.4,2,0.55,0.14,0.14,1147,36,36,-999,-999,-999,-999,-999,-999
HATS-21,TEP,280.185,-58.45925,12.19,10.53,0.0824,1.2,2457109.225,0.00057,3.5543973,0.0000058,5695,67,67,0.3,0.04,0.04,1.08,0.026,0.026,1.021,0.089,0.036,4.453,0.055,0.055,1,0.11,0.23,0,0.149,0,0.04676,0.00038,0.00038,0.332,0.04,0.03,1.123,0.147,0.054,6.5,1.1,1.4,0.219,0.047,0.065,1284,55,31,-999,-999,-999,-999,-999,-999
HATS-22,TEP,174.009,-29.54331,13.46,10.94,0.0913,2.5,2457078.58,0.00022,4.7228124,0.0000052,4803,55,55,0,0.04,0.04,0.759,0.019,0.019,0.689,0.028,0.018,4.644,0.028,0.028,2.32,0.18,0.28,0.079,0.026,0.026,0.05025,0.00042,0.00042,2.74,0.11,0.11,0.953,0.048,0.029,73.8,6.4,5.9,2.93,0.34,0.34,858,24,17,-999,-999,-999,-999,-999,-999
HATS-23,TEP,286.3665,-50.06736,13.9,12.26,0.0752,1.6,2457072.853,0.0007,2.1605156,0.0000045,5780,120,120,0.28,0.07,0.07,1.121,0.046,0.046,1.199,0.061,0.081,4.328,0.044,0.044,0.64,0.14,0.08,0,0.114,0,0.03397,0.00047,0.00047,1.47,0.072,0.072,1.86,0.3,0.4,10.5,6.5,2.5,0.22,0.23,0.08,1654,54,54,-999,-999,-999,-999,-999,-999
HATS-24,TEP,268.89,-61.74731,12.83,11.38,0.1008,2.2,2458667.458,0.00035,1.34849705,0.00000043,6346,81,81,0,0.05,0.05,1.212,0.033,0.033,1.172,0.033,0.033,4.384,0.021,0.021,1.059,0.075,0.075,0,0.242,0,0.02547,0.00023,0.00023,2.44,0.18,0.18,1.487,0.078,0.054,27.2,3.6,3.2,0.69,0.11,0.11,2067,39,39,-999,-999,-999,-999,-999,-999
HATS-25,TEP,207.9075,-23.78117,13.1,11.42,0.1335,1.7,2456870.369,0.00051,4.2986432,0.0000045,5715,73,73,0.02,0.05,0.05,0.994,0.035,0.035,1.107,0.069,0.069,4.347,0.053,0.053,0.73,0.14,0.14,0,0.176,0,0.05163,0.0006,0.0006,0.613,0.042,0.042,1.26,0.1,0.1,9.5,1.8,1.5,0.29,0.08,0.08,1277,42,42,-999,-999,-999,-999,-999,-999
HATS-26,TEP,144.92683,-28.58558,12.96,11.44,0.2173,1.2,2456867.423,0.0012,3.3023881,0.0000076,6071,81,81,-0.02,0.05,0.05,1.299,0.113,0.056,2.04,0.15,0.11,3.936,0.046,0.046,0.155,0.023,0.023,0,0.245,0,0.04735,0.00133,0.00068,0.65,0.076,0.076,1.75,0.21,0.21,5.3,0.9,1.1,0.115,0.032,0.032,1918,61,61,-999,-999,-999,-999,-999,-999
HATS-27,TEP,193.5525,-46.58772,12.77,11.55,0.2013,1,2457029.337,0.0011,4.637038,0.000014,6438,64,64,0.09,0.04,0.04,1.415,0.048,0.048,1.74,0.17,0.1,4.107,0.049,0.049,0.269,0.045,0.045,0,0.581,0,0.0611,0.00068,0.00068,0.53,0.13,0.13,1.5,0.2,0.11,5.6,2.3,1.6,0.136,0.063,0.063,1659,66,46,-999,-999,-999,-999,-999,-999
HATS-28,TEP,284.4,-49.13847,13.93,12.09,0.0981,2.1,2457034.283,0.00046,3.1810781,0.0000039,5498,84,84,0.01,0.06,0.06,0.929,0.036,0.036,0.922,0.04,0.04,4.476,0.039,0.039,1.19,0.19,0.19,0,0.202,0,0.04131,0.00053,0.00053,0.672,0.087,0.087,1.194,0.07,0.07,11.6,2.2,1.9,0.36,0.08,0.08,1253,35,35,-999,-999,-999,-999,-999,-999
HATS-29,TEP,285.096,-54.89319,12.61,10.88,0.1338,1.8,2457031.956,0.00038,4.6058749,0.0000063,5670,110,110,0.16,0.08,0.08,1.032,0.049,0.049,1.073,0.038,0.038,4.389,0.027,0.027,0.83,0.08,0.08,0,0.158,0,0.05475,0.00088,0.00088,0.653,0.063,0.063,1.251,0.061,0.061,10.2,1.2,1.1,0.309,0.045,0.045,1212,30,30,-999,-999,-999,-999,-999,-999
HATS-30,TEP,5.61871,-59.94256,12.19,10.79,0.1146,1.6,2456629.762,0.00036,3.1743516,0.0000026,5943,70,70,0.06,0.05,0.05,1.093,0.031,0.031,1.061,0.039,0.039,4.425,0.03,0.03,0.95,0.13,0.13,0,0.096,0,0.04354,0.00042,0.00042,0.706,0.039,0.039,1.175,0.052,0.052,12.7,1.4,1.2,0.409,0.057,0.057,1414,32,32,-999,-999,-999,-999,-999,-999
HATS-31,TEP,191.703,-24.42736,13.11,11.57,0.1914,1,2456960.148,0.0011,3.37796,0.000012,6050,120,120,0,0.07,0.07,1.275,0.096,0.096,1.87,0.18,0.18,4,0.065,0.065,0.195,0.058,0.042,0,0.233,0,0.0478,0.0012,0.0012,0.88,0.12,0.12,1.64,0.22,0.22,7.9,2.5,1.9,0.183,0.093,0.066,1823,81,81,-999,-999,-999,-999,-999,-999
HATS-32,TEP,346.0755,-21.27194,14.38,12.7,0.1189,1.9,2456454.625,0.0011,2.8126548,0.0000055,5700,110,110,0.39,0.05,0.05,1.099,0.044,0.044,1.097,0.098,0.063,4.396,0.057,0.057,0.83,0.16,0.16,0,0.471,0,0.04024,0.00053,0.00053,0.92,0.1,0.1,1.249,0.144,0.096,14.4,3.4,2.7,0.44,0.12,0.12,1437,58,58,-999,-999,-999,-999,-999,-999
HATS-33,TEP,294.633,-55.33011,11.91,10.29,0.1115,2.2,2456497.232,0.0005,2.5495551,0.0000061,5659,85,85,0.29,0.05,0.05,1.062,0.032,0.032,1.022,0.05,0.037,4.445,0.036,0.036,0.99,0.11,0.11,0,0.08,0,0.03727,0.00037,0.00037,1.192,0.053,0.053,1.23,0.112,0.081,19.5,3.5,2.9,0.6,0.14,0.14,1429,38,38,-999,-999,-999,-999,-999,-999
HATS-34,TEP,0.7745,-62.46933,13.85,12.1,0.0648,1.6,2457346.74,0.00046,2.1061619,0.0000013,5456,19,19,0.174,0.074,0.029,0.952,0.04,0.02,0.9381,0.008,0.008,4.474,0.018,0.018,1.158,0.055,0.055,0,0.108,0,0.03165,0.00043,0.00022,0.951,0.05,0.05,1.282,0.064,0.064,14.3,2.2,1.4,0.421,0.087,0.054,1431,10,10,-999,-999,-999,-999,-999,-999
HATS-35,TEP,296.688,-63.56561,12.56,11.12,0.1299,1.3,2456981.802,0.00041,1.8209993,0.0000016,6300,100,100,0.21,0.06,0.06,1.317,0.04,0.04,1.433,0.056,0.038,4.244,0.023,0.023,0.445,0.032,0.043,0,0.306,0,0.03199,0.00033,0.00033,1.222,0.078,0.078,1.464,0.069,0.044,14.2,0.8,1.6,0.365,0.032,0.053,2037,43,43,-999,-999,-999,-999,-999,-999
HATS-36,TEP,291.4785,-23.20278,14.39,12.81,0.14301,1.4,2457360.39,0.000085,4.1752387,0.0000022,6149,76,76,0.28,0.037,0.037,1.222,0.029,0.029,1.155,0.039,0.039,4.4,0.023,0.023,0.792,0.064,0.064,0.105,0.028,0.028,0.05425,0.00043,0.00043,3.216,0.062,0.062,1.235,0.043,0.043,52.2,3.2,3,1.6,0.15,0.15,1356,30,30,-999,-999,-999,-999,-999,-999
HATS-37,TEP,199.80192,-22.98686,12.27,9.95,0.1214,0.8,2458006.801,0.0005,4.3315366,0.0000041,5326,44,44,0.051,0.029,0.029,0.843,0.017,0.012,0.877,0.019,0.012,4.478,0.017,0.017,-1,-1,-1,0,0.345,0,0.04913,0.00033,0.00023,0.099,0.042,0.042,0.606,0.016,0.016,5.4,2.9,1.9,0.41,0.18,0.18,1085,16,12,-999,-999,-999,-999,-999,-999
HATS-38,TEP,154.27117,-25.27628,12.41,10.77,0.134,0.5,2457725.16,0.00072,4.375021,0.00001,5732,25,25,-0.102,0.043,0.043,0.89,0.016,0.012,1.105,0.016,0.016,4.301,0.013,0.013,-1,-1,-1,0,0.122,0,0.05036,0.0003,0.00023,0.074,0.011,0.011,0.614,0.017,0.017,4.91,0.93,0.78,0.304,0.054,0.054,1294,10,10,-999,-999,-999,-999,-999,-999
HATS-39,TEP,112.41929,-29.93789,12.75,11.52,0.1555,1.4,2457315.283,0.00055,4.5776348,0.0000073,6572,83,83,0,0.044,0.044,1.379,0.04,0.04,1.621,0.085,0.085,4.158,0.038,0.038,0.324,0.053,0.04,0,0.275,0,0.06007,0.00058,0.00058,0.63,0.13,0.13,1.57,0.12,0.12,6.5,2.1,1.6,0.152,0.054,0.038,1645,43,43,-999,-999,-999,-999,-999,-999
HATS-40,TEP,100.57125,-29.77681,13.38,12.15,0.2221,0.8,2456962.676,0.001,3.2642736,0.0000058,6460,130,130,0.01,0.077,0.077,1.561,0.069,0.069,2.26,0.18,0.11,3.921,0.041,0.041,0.134,0.019,0.019,0,0.312,0,0.04997,0.00074,0.00074,1.59,0.24,0.24,1.58,0.16,0.2,15.5,3.6,2.9,0.37,0.1,0.1,2101,69,69,-999,-999,-999,-999,-999,-999
HATS-41,TEP,103.51742,-27.05039,12.68,11.5,0.0915,0.5,2456795.724,0.0014,4.193649,0.000013,6424,91,91,0.47,0.041,0.041,1.496,0.115,0.078,1.71,0.36,0.24,4.14,0.11,0.11,0.3,0.12,0.12,0.38,0.11,0.38,0.0583,0.0015,0.001,9.7,1.6,1.6,1.33,0.29,0.2,135,60,42,3.8,2.5,1.7,1710,170,120,-999,-999,-999,-999,-999,-999
HATS-42,TEP,108.45242,-33.43733,13.62,12.25,0.1361,1.2,2456768.607,0.00069,2.292102,0.0000021,6060,120,120,0.22,0.07,0.07,1.273,0.067,0.067,1.48,0.2,0.12,4.201,0.07,0.07,0.39,0.09,0.09,0,0.229,0,0.03689,0.00065,0.00065,1.88,0.15,0.15,1.4,0.25,0.14,23.4,5.5,6.3,0.63,0.21,0.21,1856,105,76,-999,-999,-999,-999,-999,-999
HATS-43,TEP,80.53817,-30.97083,13.59,11.56,0.12452,2.8,2457636.089,0.00025,4.3888497,0.0000059,5099,61,61,0.05,0.041,0.041,0.837,0.023,0.023,0.812,0.032,0.032,4.539,0.036,0.036,1.54,0.26,0.14,0.173,0.089,0.089,0.04944,0.00046,0.00046,0.261,0.054,0.054,1.18,0.05,0.05,4.7,1.3,1,0.143,0.041,0.029,1003,27,27,-999,-999,-999,-999,-999,-999
HATS-44,TEP,84.32671,-27.97261,14.43,12.17,0.0688,1.6,2456931.114,0.00061,2.7439004,0.0000032,5080,100,100,0.32,0.071,0.071,0.86,0.021,0.021,0.847,0.036,0.036,4.514,0.036,0.036,1.4,0.18,0.18,0,0.279,0,0.03649,0.0003,0.0003,0.56,0.11,0.11,1.067,0.125,0.071,12,4.2,3.1,0.42,0.14,0.14,1161,34,34,-999,-999,-999,-999,-999,-999
HATS-45,TEP,101.99429,-21.91069,13.31,12.14,0.1269,1.2,2456731.195,0.00073,4.1876244,0.0000056,6450,110,110,0.02,0.068,0.068,1.272,0.048,0.048,1.315,0.064,0.064,4.305,0.036,0.036,0.6,0.07,0.07,0,0.24,0,0.05511,0.00069,0.00069,0.7,0.15,0.15,1.286,0.093,0.093,10.5,3.3,2.5,0.31,0.12,0.08,1518,45,45,-999,-999,-999,-999,-999,-999
HATS-46,TEP,6.70242,-56.31611,13.63,11.97,0.1014,1.4,2457149.052,0.00056,4.7423749,0.0000043,5451,19,19,-0.029,0.039,0.039,0.869,0.023,0.023,0.894,0.01,0.01,4.474,0.019,0.019,1.215,0.069,0.069,0,0.559,0,0.05272,0.00045,0.00045,0.158,0.042,0.042,0.951,0.029,0.029,4.4,1.7,1.2,0.171,0.049,0.049,1082,8,8,-999,-999,-999,-999,-999,-999
HATS-47,TEP,287.48438,-49.66497,14.83,11.93,0.08343,3,2457365.358,0.00029,3.9228038,0.0000022,4479,51,51,-0.14,0.066,0.066,0.674,0.016,0.012,0.6564,0.0055,0.0055,4.633,0.011,0.011,2.381,0.092,0.07,0,0.088,0,0.04269,0.00033,0.00025,0.369,0.031,0.021,1.117,0.014,0.014,7.35,0.56,0.52,0.25,0.02,0.02,853,5,5,-999,-999,-999,-999,-999,-999
HATS-48,TEP,288.67196,-59.57939,14.35,11.43,0.09774,1.3,2457100.55,0.00045,3.1316666,0.0000037,4190,100,100,0,0.1,0.1,0.7279,0.0066,0.0066,0.7152,0.0038,0.0038,4.5909,0.0039,0.0039,1.987,0.026,0.026,0,0.162,0,0.03769,0.00011,0.00011,0.243,0.022,0.03,0.8,0.015,0.015,9.51,0.82,1.19,0.444,0.051,0.051,955,5,5,-999,-999,-999,-999,-999,-999
HATS-49,TEP,6.61325,-56.34431,15,11.94,0.09775,1.3,2457105.165,0.00054,4.1480467,0.0000037,4354,70,70,0.08,0.084,0.084,0.7133,0.0075,0.0075,0.6977,0.0055,0.0055,4.6036,0.0077,0.0077,2.099,0.052,0.052,0,0.071,0,0.04515,0.00016,0.00016,0.353,0.038,0.027,0.765,0.013,0.013,15,1.5,1.3,0.743,0.071,0.071,835,4,4,-999,-999,-999,-999,-999,-999
HATS-50,TEP,300.4275,-26.07758,14.03,12.29,0.1283,1.3,2456870.348,0.00068,3.8297015,0.0000046,5990,110,110,0.3,0.056,0.056,1.168,0.042,0.042,1.117,0.06,0.06,4.411,0.038,0.038,0.84,0.11,0.11,0,0.516,0,0.05046,0.0006,0.0006,0.39,0.1,0.1,1.13,0.075,0.075,7.4,2.1,2,0.25,0.08,0.08,1348,47,47,-999,-999,-999,-999,-999,-999
HATS-51,TEP,102.8475,-29.05861,12.47,10.87,0.1384,1.3,2457042.004,0.00058,3.3488702,0.0000039,5758,58,58,0.3,0.03,0.03,1.187,0.06,0.06,1.44,0.18,0.18,4.198,0.088,0.088,0.4,0.16,0.11,0,0.33,0,0.04639,0.00077,0.00077,0.768,0.045,0.045,1.41,0.19,0.19,9.5,2.8,2.1,0.26,0.12,0.08,1553,92,92,-999,-999,-999,-999,-999,-999
HATS-52,TEP,140.08771,-31.26933,13.67,12.11,0.0871,2,2456929.03,0.00033,1.36665436,0.00000094,6010,150,150,0.22,0.1,0.1,1.111,0.054,0.054,1.046,0.058,0.058,4.445,0.034,0.034,0.97,0.13,0.13,0,0.246,0,0.02498,0.0004,0.0004,2.24,0.15,0.15,1.382,0.086,0.086,29.4,3.7,3.3,0.8,0.14,0.14,1834,73,73,-999,-999,-999,-999,-999,-999
HATS-53,TEP,176.628,-33.86006,14.14,12.05,0.1461,2,2457236.757,0.00049,3.8537768,0.0000038,5644,94,94,0.01,0.066,0.066,0.964,0.04,0.04,1.101,0.031,0.024,4.34,0.019,0.019,0.728,0.035,0.05,0,0.33,0,0.04753,0.00066,0.00066,0.595,0.089,0.089,1.34,0.056,0.056,8.2,1.2,1.5,0.23,0.04,0.04,1312,25,25,-999,-999,-999,-999,-999,-999
HATS-54,TEP,200.63488,-44.68881,13.91,12.17,0.1028,0.9,2457780.01,0.00061,2.5441765,0.0000024,5621,70,70,0.37,0.07,0.07,1.05,0.05,0.05,1.23,0.02,0.02,4.2,0.2,0.2,0.563,0.037,0.037,0,0.126,0,0.037,0.001,0.001,0.753,0.057,0.057,1.015,0.024,0.024,-1,-1,-1,0.709,0.09,0.083,1429,24,24,-999,-999,-999,-999,-999,-999
HATS-55,TEP,114.28342,-32.75542,13.47,12.02,0.116,1.4,2457413.13,0.00051,4.2042001,0.0000033,6095,92,92,0.22,0.049,0.049,1.196,0.009,0.012,1.126,0.011,0.011,4.412,0.007,0.007,0.836,0.021,0.021,0,0.092,0,0.05412,0.00014,0.00018,0.921,0.076,0.076,1.251,0.026,0.026,14.6,1.5,1.3,0.443,0.047,0.047,1367,10,10,-999,-999,-999,-999,-999,-999
HATS-56,TEP,180.16512,-45.79944,11.58,10.25,0.1934,0.7,2457788.003,0.0012,4.324799,0.000027,6552,61,61,0.2,0.025,0.025,1.573,0.017,0.017,2.201,0.036,0.036,3.949,0.012,0.012,0.147,0.006,0.006,0,0.019,0,0.06043,0.00022,0.00022,0.602,0.035,0.035,1.688,0.039,0.055,5.22,0.43,0.39,0.117,0.013,0.01,1902,16,16,-999,-999,-999,-999,-999,-999
HATS-57,TEP,60.94833,-19.05675,12.34,10.71,0.1037,1.9,2457778.496,0.00025,2.350621,0.0000013,5659,84,84,0.16,0.059,0.059,1.026,0.019,0.026,0.96,0.011,0.011,4.484,0.016,0.016,1.157,0.053,0.053,0,0.028,0,0.03493,0.00021,0.0003,3.147,0.073,0.073,1.139,0.028,0.028,60.1,3.5,3.4,1.998,0.158,0.158,1413,10,10,-999,-999,-999,-999,-999,-999
HATS-58,TEP,186.78737,-48.97839,11.55,10.29,0.1325,0.7,2457463.3,0.0017,4.2180896,0.0000089,6460,130,130,0.06,0.069,0.069,1.461,0.043,0.043,1.433,0.059,0.059,4.292,0.028,0.028,0.498,0.05,0.05,0,0.168,0,0.05798,0.00057,0.00057,1.03,0.23,0.23,1.095,0.062,0.062,21.4,5.5,4.8,0.724,0.204,0.204,1721,34,34,-999,-999,-999,-999,-999,-999
HATS-59,TEP,170.325,-22.38817,13.95,12.24,0.1497,1.5,2456620.665,0.00052,5.416081,0.000016,5670,91,91,0.18,0.064,0.064,1.038,0.039,0.039,1.036,0.067,0.067,4.422,0.053,0.053,0.93,0.17,0.17,0.129,0.049,0.049,0.06112,0.00076,0.00076,0.806,0.069,0.069,1.126,0.077,0.077,15.7,2.5,2.5,0.53,0.12,0.12,1128,40,40,-999,-999,-999,-999,-999,-999
HATS-60,TEP,341.364,-14.99175,12.64,10.99,0.1613,0.9,2457987.237,0.00089,3.560827,0.000026,5698,58,58,0.32,0.028,0.028,1.0988,0.0098,0.0156,1.46,0.027,0.027,4.149,0.015,0.015,0.352,0.018,0.018,0,0.04,0,0.0471,0.00014,0.00022,0.65,0.054,0.054,1.194,0.029,0.043,11.2,1.5,0.9,0.356,0.057,0.033,1529,12,12,-999,-999,-999,-999,-999,-999
HATS-61,TEP,61.65779,-25.34972,13.23,11.48,0.2307,0.6,2457673.061,0.0013,7.817954,0.000021,5630,71,71,0.22,0.043,0.043,1.075,0.014,0.014,1.667,0.022,0.022,4.026,0.012,0.012,0.232,0.009,0.009,0,0.008,0,0.07904,0.00034,0.00034,3.4,0.12,0.12,1.201,0.044,0.063,58.3,6.8,4,1.83,0.32,0.19,1227,7,7,-999,-999,-999,-999,-999,-999
HATS-62,TEP,312.44929,-24.30347,14.02,12.11,0.1144,1.8,2455772.006,0.00036,3.2768838,0.0000023,5536,33,33,0.12,0.024,0.024,0.9113,0.0092,0.0092,0.923,0.011,0.011,4.467,0.011,0.011,1.156,0.042,0.042,0,0.001,0,0.04186,0.00014,0.00014,0,0.191,0,1.032,0.011,0.011,2.9,0.9,1.2,0.105,0.032,0.044,1231,7,7,-999,-999,-999,-999,-999,-999
HATS-63,TEP,67.41854,-28.19728,13.89,12.22,0.1019,1.5,2457659.938,0.00086,3.0566528,0.0000047,5637,46,46,0.06,0.04,0.04,0.931,0.019,0.019,1.07,0.011,0.011,4.348,0.015,0.015,0.758,0.033,0.033,0,0.007,0,0.04026,0.00027,0.00027,0.96,0.11,0.11,1.207,0.037,0.037,16.2,2.4,2.1,0.505,0.075,0.075,1398,9,9,-999,-999,-999,-999,-999,-999
HATS-64,TEP,144.28762,-29.80044,12.92,11.71,0.2416,0.8,2457769.823,0.00083,4.908896,0.000013,6635,85,85,0.22,0.042,0.042,1.562,0.026,0.026,2.113,0.066,0.066,3.981,0.022,0.022,0.165,0.013,0.013,0,0.001,0,0.0656,0.00037,0.00037,0.93,0.2,0.14,1.674,0.073,0.073,8.2,1.9,1.5,0.184,0.042,0.042,1797,25,25,-999,-999,-999,-999,-999,-999
HATS-65,TEP,292.93979,-26.74019,12.5,11.1,0.1193,1.7,2457418.491,0.00038,3.1051602,0.0000014,6660,110,110,0.18,0.062,0.062,1.269,0.031,0.031,1.296,0.025,0.025,4.32,0.021,0.021,0.588,0.038,0.038,0,0.006,0,0.04511,0.00037,0.00037,0.793,0.081,0.081,1.479,0.037,0.037,9,1.1,1,0.229,0.028,0.028,1623,20,20,-999,-999,-999,-999,-999,-999
HATS-66,TEP,101.39483,-33.88169,14.1,12.76,0.1885,0.7,2457533.94,0.0036,3.141439,0.000011,6500,78,78,0,0.044,0.044,1.406,0.027,0.046,1.851,0.084,0.059,4.05,0.042,0.042,0.221,0.019,0.027,0,0.008,0,0.04709,0.0003,0.00052,5.5,1.4,1.4,1.5,0.11,0.11,62,29,20,1.54,0.53,0.37,1999,42,42,-999,-999,-999,-999,-999,-999
HATS-67,TEP,180.20883,-46.13642,13.65,12.33,0.0807,1.5,2457787.226,0.00047,1.6091789,0.0000042,6570,100,100,0.38,0.056,0.056,1.441,0.02,0.02,1.441,0.028,0.028,4.28,0.016,0.016,0.482,0.022,0.03,0,0.014,0,0.03036,0.00014,0.00014,1.477,0.074,0.117,1.694,0.058,0.058,12.7,1.1,1.3,0.281,0.034,0.034,2196,22,22,-999,-999,-999,-999,-999,-999
HATS-68,TEP,15.00587,-58.90475,12.28,10.95,0.142,0.6,2457650.686,0.00087,3.5862234,0.0000048,6300,110,110,0.18,0.057,0.057,1.337,0.022,0.119,1.769,0.035,0.035,4.068,0.03,0.03,0.24,0.016,0.025,0,0.005,0,0.05053,0.00028,0.00154,1.286,0.073,0.073,1.284,0.047,0.047,19.5,1.8,1.6,0.572,0.067,0.067,1750,20,20,-999,-999,-999,-999,-999,-999
HATS-69,TEP,289.29733,-60.89169,13.95,11.88,0.0982,1.8,2457755.394,0.00052,2.2252577,0.0000019,5276,59,59,0.35,0.035,0.035,0.892,0.011,0.016,0.8785,0.0077,0.0077,4.501,0.013,0.013,1.314,0.05,0.05,0,0.013,0,0.03211,0.00014,0.00019,0,0.577,0,0.945,0.022,0.022,8.7,4.5,5.4,0.35,0.19,0.19,1296,7,7,-999,-999,-999,-999,-999,-999
HATS-70,TEP,109.1045,-31.24442,12.57,12.04,0.151,0.7,2456911.875,0.00084,1.8882378,0.0000015,7930,180,180,0.18,0.1,0.1,1.78,0.12,0.12,1.881,0.059,0.066,4.167,0.044,0.036,-1,-1,-1,0,0.18,0,0.03632,0.00074,0.00087,12.9,1.8,1.6,1.384,0.079,0.074,178,34,30,5,1.2,1,2730,140,160,8.9,5.6,4.5,-999,-999,-999
HATS-71,TEP,15.55117,-61.75603,16.33,11.73,0.08622,4.7,2457699.389,0.0002,3.7955213,0.0000011,3500,120,120,0.26,0.13,0.13,0.569,0.042,0.069,0.5161,0.0053,0.0099,4.766,0.027,0.027,4.11,0.22,0.22,0,-1,-1,0.03946,0.00095,0.00168,0.45,0.24,0.24,1.08,0.016,0.016,9.5,5.2,4.4,0.33,0.17,0.17,568,13,7,-999,-999,-999,-999,-999,-999
HATS-72,TEP,339.02633,-16.99994,12.47,9.76,0.12853,1.1,2458087.648,0.00008,7.3279474,0.0000016,4612,76,76,-0.04,0.05,0.05,0.7311,0.0028,0.0028,0.7214,0.0021,0.0021,4.5853,0.0021,0.0021,1.944,0.014,0.014,0,0.013,0,0.06652,0.00009,0.00009,0.1254,0.0039,0.0039,0.7224,0.0032,0.0032,5.94,0.18,0.18,0.31,0.011,0.008,739,2,2,-999,-999,-999,-999,-999,-999
HATS-74,TEP,171.01496,-19.55714,17.26,12.45,0.06889,3.4,2458392.027,0.00024,1.73185606,0.00000055,3777,10,10,0.514,0.033,0.021,0.601,0.008,0.008,0.5758,0.0055,0.0055,4.696,0.011,0.011,3.14,0.13,0.09,0,0.044,0,0.02384,0.00011,0.00011,1.46,0.14,0.14,1.032,0.021,0.021,33.8,5.3,4.6,1.24,0.14,0.14,895,6,6,-999,-999,-999,-999,-999,-999
HATS-75,TEP,60.94933,-25.40892,15.76,11.58,0.07969,2.4,2458611.055,0.00027,2.7886556,0.0000011,3790,6,6,0.522,0.051,0.028,0.6017,0.0074,0.0055,0.5848,0.0026,0.0026,4.6831,0.0069,0.0069,3.004,0.064,0.046,0,0.064,0,0.03274,0.00013,0.0001,0.491,0.039,0.039,0.884,0.013,0.013,15.6,1.4,1.3,0.662,0.063,0.063,772,3,3,-999,-999,-999,-999,-999,-999
HATS-76,TEP,70.33979,-32.32042,16.68,12.81,0.0774,3.1,2458424.556,0.00053,1.9416423,0.0000014,4016,17,17,0.322,0.065,0.049,0.662,0.016,0.021,0.6259,0.0079,0.0079,4.665,0.016,0.016,2.69,0.12,0.12,0,0.062,0,0.02658,0.00021,0.00029,2.629,0.089,0.089,1.079,0.031,0.031,55.8,3.9,3.6,1.94,0.17,0.17,940,7,7,-999,-999,-999,-999,-999,-999
HATS-77,TEP,149.82358,-27.39281,16.35,12.93,0.09282,3.5,2459136.694,0.0002,3.0876262,0.0000016,4071,13,13,0.253,0.039,0.039,0.655,0.014,0.014,0.6428,0.0066,0.0066,4.638,0.014,0.014,2.47,0.12,0.09,0,0.045,0,0.03607,0.00025,0.00025,1.374,0.1,0.074,1.165,0.021,0.021,25,2.3,1.6,0.812,0.084,0.061,828,6,6,-999,-999,-999,-999,-999,-999
HD_001397,TEP,4.44642,-66.35897,7.87,5.99,0.3585,0.25,2458332.082,0.0005,11.53604,0.00036,5528,50,50,0.273,0.05,0.05,1.322,0.04,0.04,2.328,0.05,0.056,3.826,0.02,0.018,0.105,0.007,0.006,0.265,0.023,0.023,0.1097,0.0011,0.0012,0.419,0.024,0.024,1.023,0.023,0.026,9.93,0.7,0.71,0.367,0.032,0.03,1228,10,10,-999,-999,-999,-999,-999,-999
HD_002685,TEP,7.32896,-76.30406,9.59,8.6,0.18,1,2458325.784,0.00015,4.1269052,0.0000011,6801,56,56,0.02,0.03,0.03,1.44,0.02,0.02,1.57,0.01,0.01,4.22,0.01,0.01,-1,-1,-1,0,-1,-1,0.0568,0.0003,0.0002,1.18,0.09,0.09,1.44,0.01,0.01,-1,-1,-1,-1,-1,-1,2061,21,21,-999,-999,-999,-999,-999,-999
HD_003167b,TEP,8.73967,4.38147,8.94,7.07,0.06705,0.03,2457394.374,0.00036,0.95965428,0.0000003,5300,73,73,0.037,0.048,0.048,0.852,0.026,0.015,0.871,0.006,0.006,4.47,0.05,0.05,1.289,0.041,0.041,0,0.1,0,0.01802,0.00025,0.00025,0.0149,0.0009,0.0009,0.1496,0.0032,0.0032,-1,-1,-1,4.15,0.39,0.37,1777,27,27,-6.6,6.6,7.9,29.5,7.2,9.4
