planet,mp,mpe+,mpe-,rp,rpe+,rpe-,P,Pe,teq,teqe,dp,dpe,Fp,Fpe,ms,mse+,mse-,rs,rse+,rse-,teff,teffe,logg,met,Host type,Likely nature,migrationA_photev_wwprob,migrationA_photev_wwprobe,migrationB_photev_wwprob,migrationB_photev_wwprobe,migrationB_impact_wwprob,migrationB_impact_wwprobe,TSM,K_RV,ref
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD-60 8051 b,4.6,0.56,0.56,1.39,0.09,0.09,1.4015,0.00018,965,20,1.741338654,0.380917831,0.920218716,0.126885933,0.62,,,0.6,,,3800,70,,,M,bare rocky,0.1,2.5,12.3,31,22,30.6,7.7,"(3.66, 0.47)",Ast20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-270 b,1.58,0.26,0.26,1.151,0.05,0.05,3.360161,2.61E-05,581,15,1.033919826,0.217667332,1.017148163,0.17311273,0.386,,,0.378,,,3506,70,,,M,bare rocky,7.3,17.4,14.2,29.3,11.1,13.1,11.3,"(1.27, 0.21)",VEy21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-270 c,6.14,0.38,0.38,2.332,0.072,0.072,5.660183,1.40E-05,488,12,0.486123708,0.054416833,1.427940355,0.098760754,0.386,,,0.378,,,3506,70,,,M,gas-rich,22,14.4,22.1,14.1,31.5,9.7,134.6,"(4.16, 0.24)",VEy21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-270 d,4.78,0.46,0.46,2.005,0.067,0.067,11.38027,4.61E-05,387,10,0.594957373,0.081625249,1.313666774,0.133824557,0.386,,,0.378,,,3506,70,,,M,bare water,49.5,23,47.2,27.8,57,30,87.1,"(2.56, 0.23)",VEy21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-25 b,24.5,5.7,5.2,3.44,0.12,0.12,3.48456408,8.19E-05,494,11,0.598585162,0.145111555,1.449132677,0.326297645,0.2634,,,0.2932,,,3207,58,,,M,gas-rich,14,21.2,21,31.2,19.5,10.7,67.1,"(27.9, -6.0, 6.5)",Man16 Tha20 Ste20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-269 b,8.8,1.4,1.4,2.77,0.12,0.12,3.6977104,3.49E-06,531,25,0.41356793,0.081625249,1.538913403,0.253741819,0.3917,,,0.398,,,3514,70,,,M,gas-rich,9,15.3,30.8,35.8,21.9,10,68.2,"(7.6, 1.2)",Coin21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1231 b,15.4,3.3,3.3,3.65,0.16,0.15,24.245586,4.99E-05,329,3.75,0.315617631,0.080718302,1.743176323,0.380802075,0.485,,,0.476,,,3553,52,,,M,gas-rich,72,15.9,84.6,25,94.3,15.4,98.5,"(5.6, 1.2)",Burt21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G 9-40 b,4.004487609,0.635632954,0.635632954,1.902039554,0.065084539,0.065084539,5.7459982,2.00E-06,441,8,0.437148558,0.082532197,1.307281201,0.212271854,0.295,0.014,0.014,0.3026,0.0095,0.0095,3395,51,4.84,-0.07,M,bare water,31.7,24.3,18.7,15.9,27.1,13.9,101.5,,2022A+A...666A.154L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 806 b,1.906898861,0.158908238,0.158908238,1.331988762,0.023565092,0.023565092,0.9263237,9.00E-07,940,10,0.602212951,0.061672411,1.118758449,0.09530771,0.413,0.011,0.011,0.4144,0.0038,0.0038,3600,16,4.98,-0.28,M,bare rocky,1.2,7,26.2,41.5,53.6,36.1,44.1,"(2.25, 0.2)",arXiv:2301.06873
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3090 b,3.30529136,0.730977897,0.730977897,2.165744153,0.100993251,0.100993251,2.8531054,2.30E-06,692,18,0.246689643,0.063486305,1.567762209,0.354340545,0.519,0.013,0.013,0.516,0.016,0.016,3556,70,,-0.06,M,gas-rich,11.8,21,24.6,36.5,16.2,14.4,234,"(2.38, 0.51)",2022A+A...665A..91A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-54 b,3.082819826,0.286034829,0.317816477,1.858275812,0.057229509,0.057229509,8.01026,3.00E-05,756.8863873,,0.480416175,0.049322487,1.370761908,0.140730869,0.518,0.013,0.013,0.522,0.014,0.014,3854,80,4.73,-0.16,M,gas-rich,34.3,19.9,28.9,14.9,42.1,19.6,14.5,,2023A+A...669A.117L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-54 c,2.097588747,0.190689886,0.222471534,1.689953728,0.053863067,0.054985214,12.072389,0.0001,660.1589164,,0.434606187,0.045032408,1.383322271,0.143335126,0.518,0.013,0.013,0.522,0.014,0.014,3854,80,4.73,-0.16,M,gas-rich,48,20.6,60.7,19.1,76,6.6,14,,2023A+A...669A.117L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTT 1445A b,2.860348292,0.254253182,0.254253182,1.306179375,0.066206687,0.06059595,5.3587657,4.30E-06,424,21,0.970433521,0.156901868,0.98321016,0.099577977,0.257,0.014,0.014,0.268,0.027,0.027,3337,150,4.983,-0.34,M,bare rocky,1.9,4.3,9.7,19.6,7.2,6.7,30.4,,2022AJ....163..168W
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTT 1445A c,1.525519089,0.190689886,0.190689886,1.147956616,0.054985214,0.053863067,3.1239035,3.50E-06,508,25,0.761835661,0.087066933,1.024125402,0.136913993,0.257,0.014,0.014,0.268,0.027,0.027,3337,150,4.983,-0.34,M,bare rocky,6.5,14.9,9.9,25.1,9.8,13.3,46.3,"(1.67, 0.21)",2022AJ....163..168W
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1075 b,9.947655727,1.366610851,1.303047555,1.793191273,0.115581165,0.080794601,0.6047328,3.20E-06,1323,44,1.269726102,0.263014693,0.963767686,0.139676205,0.604,0.03,0.03,0.581,0.024,0.024,3875,75,,-0.1,M,bare rocky,0.4,4.5,16.8,36.3,79.2,29.5,29.5,"(10.95, -1.43, 1.5)",2023AJ....165...47E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1201 b,6.292766242,0.82632284,0.889886135,2.412616544,0.089771778,0.089771778,2.4919863,3.10E-06,703,14.5,0.33557047,0.061672411,1.467523845,0.207433203,0.512,0.02,0.02,0.508,0.016,0.016,3476,51,4.8,0.05,M,gas-rich,4.6,11.4,23.6,36.8,17.9,16.9,95.2,"(4.65, -0.64, 0.6)",2021A+A...656A.124K
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1468 b,3.209946417,0.254253182,0.254253182,1.281492136,0.038153006,0.039275153,1.8805136,2.50E-06,682,7,1.525281302,0.129303453,0.935028079,0.079265614,0.339,0.011,0.011,0.344,0.005,0.005,3496,25,5,-0.04,M,bare rocky,0.1,2.4,6.7,23.4,9.2,20.2,9.7,"(3.4, 0.25)",2022A+A...666A.155C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1468 c,6.642364367,0.667414601,0.667414601,2.06587305,0.044885889,0.044885889,15.532482,3.40E-05,338,3.5,0.753376041,0.077447641,1.238380923,0.127306518,0.339,0.011,0.011,0.344,0.005,0.005,3496,25,5,-0.04,M,bare water,54.7,29.8,62.5,29.3,77.9,29.2,64.6,"(3.48, 0.35)",2022A+A...666A.155C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1695 b,6.356329538,0.985231078,0.985231078,1.90765029,0.157100612,0.134657668,3.1342791,6.70E-06,698,14,0.689279884,0.217667332,1.157220053,0.200010852,0.515,0.015,0.015,0.513,0.012,0.012,3650,40,4.725,0,M,bare water,10.6,20.8,14.3,28.2,13.9,14.2,43.1,"(4.01, 0.68)",2023AJ....165..167C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-138 d,2.097588747,0.603851306,0.699196249,1.51489876,0.044885889,0.044885889,23.0923,0.0006,345.0,7.0,0.489751496,0.145111555,1.240029924,0.386909287,0.535,0.012,0.012,0.535,0.013,0.014,3841,50.5,4.71,-0.18,M,bare water,60.1,28.0,78.3,30.3,65.9,40.6,22.0,"(0.395, 0.09)",2023NatAs...7..206P
TOI-1470 b,7.309778969,1.207702612,1.23948426,2.176965625,0.044885889,0.044885889,2.527093,4e-06,734.0,,0.52784328,0.09432251,1.27163929,0.214470076,0.471,0.011,0.011,0.469,0.003,0.003,3709,11.0,4.77,0.0,M,bare water,4.5,11.8,17.5,32.8,16.3,19.2,55.3,"(5.67, 0.96)",2023A+A...675A.177G
