planet,mp,mpe+,mpe-,rp,rpe+,rpe-,P,Pe,teq,teqe,dp,dpe,Fp,Fpe,ms,mse+,mse-,rs,rse+,rse-,teff,teffe,logg,met,Host type,Likely nature,migrationA_photev_wwprob,migrationA_photev_wwprobe,migrationB_photev_wwprob,migrationB_photev_wwprobe,migrationB_impact_wwprob,migrationB_impact_wwprobe,TSM,K_RV,ref
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-138 e,12.9986939,2.002243804,2.002243804,3.388884633,0.134657668,0.112214723,8.26146,0.00022,861,14.5,0.244875748,0.046254308,1.694348752,0.268185169,0.93,0.02,0.02,0.86,0.03,0.02,5350,80,4.54,0.14,G,gas-rich,24.5,11.6,28.2,13.9,29.5,9.1,31.5,"(4.31, 0.67)",2019A+A...631A..90L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-222 b,7.945411922,1.906898861,1.906898861,2.356509182,0.078550306,0.067328834,15.38857,0.00088,878,16.5,0.471612552,0.108833666,1.345843089,0.325677482,0.94,0.05,0.05,1.072,0.043,0.043,5942,119,4.35,-0.315,G,gas-rich,40,23.3,38.6,26.5,49.6,20.2,32.8,"(2.29, 0.43)",2022AJ....163...41N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-263 b,14.81024782,3.114601474,3.114601474,2.412616544,0.123436195,0.123436195,50.818947,9.40E-05,470,10,0.779974605,0.20859786,1.164448016,0.252026748,0.88,0.03,0.03,0.85,0.02,0.02,5372,73,4.45,-0.08,G,gas-rich,51.4,21.4,76.9,30.1,82.3,25.3,7,"(2.82, 0.48)",2018MNRAS.481.1839M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-265 b,6.547019424,0.82632284,0.82632284,1.716885261,0.112214723,0.112214723,2.369172,8.90E-05,2008.975759,,0.979502993,0.25394522,1.033210807,0.146853142,0.915,0.017,0.017,0.977,0.053,0.053,5477,27,4.419,0.078,G,bare rocky,0.5,1.6,0.1,0.2,0.1,0.2,23.3,"(3.34, 0.43)",2018A+A...620A..77L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-291 b,6.483456129,1.144139317,1.144139317,1.591204772,0.095382515,0.071817423,2.225177,6.70E-05,1976.193274,,1.215309269,0.308362053,0.96010535,0.176779859,0.934,0.038,0.038,0.899,0.035,0.033,5520,60,4.5,0.08,G,bare rocky,0.3,1.1,0,0.1,0.1,0.1,33.8,"(3.32, 0.57)",2019AJ....157..116K
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-314 b,8.739953115,1.080576021,1.080576021,1.95253618,0.089771778,0.078550306,3.5951,0.0003,1616,114,0.874297116,0.152367132,1.086768821,0.142295592,1.05,0.05,0.05,1.71,0.04,0.04,5430,85,3.99,0.2,G,bare rocky,4.3,9.8,1.1,3.4,0.8,0.9,5.4,"(3.55, 0.43)",2020A+A...636A..89H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-314 c,14.65133958,1.843335566,1.875117214,3.669421441,0.168322084,0.134657668,15.624,0.001,990,70.5,0.221295121,0.040812625,1.776215322,0.237026711,1.05,0.05,0.05,1.71,0.04,0.04,5430,85,3.99,0.2,G,gas-rich,39.2,13.1,50.8,11,54,7.4,13.2,"(3.66, 0.46)",2020A+A...636A..89H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-314 d,10.17012726,2.447186872,2.415405224,3.949958248,0.134657668,0.123436195,35.747,0.005,752,53,0.125158716,0.0326501,2.110289947,0.509180375,1.05,0.05,0.05,1.71,0.04,0.04,5430,85,3.99,0.2,G,gas-rich,61.8,9.8,84.5,9.1,85.7,11.6,18.1,"(1.97, -0.47, 0.54)",2020A+A...636A..89H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-10 b,3.71845278,0.41316142,0.41316142,1.471135018,0.030297975,0.02019865,0.8374907,2.00E-07,2169,70,0.883366588,0.097950299,1.031574429,0.115978649,0.91,0.021,0.021,1.065,0.009,0.009,5708,28,4.344,-0.15,G,bare rocky,0,0,0,0,0,0,3.3,"(2.78, -0.54, 0.49)",2016ApJ...819...83W
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-10 c,7.373342264,1.334829203,1.175920965,2.353142741,0.089771778,0.0403973,45.294262,3.80E-05,584,33.5,0.42989298,0.079811355,1.371337594,0.236542792,0.91,0.021,0.021,1.065,0.009,0.009,5708,28,4.344,-0.15,G,gas-rich,58.3,11.3,85.2,17.4,82.8,27.5,12.1,"(2.38, 0.3)",2017MNRAS.471L.125R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-11 d,7.309778969,0.794541192,1.493737441,3.113958562,0.02019865,0.02019865,22.6845,0.00021,993.683498,,0.181389443,0.029022311,1.818968571,0.284952497,0.961,0.027,0.024,1.053,0.013,0.015,5663,61,4.3755,0.002,G,gas-rich,52.1,7.7,63.8,17.9,69.3,12.6,14.7,"(1.72, 0.36)",2013ApJ...770..131L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-19 b,8.39035499,1.589082384,1.589082384,2.21175219,0.048252331,0.048252331,9.2869944,8.80E-06,1198.346872,,0.775480601,0.147842518,1.244704056,0.23729824,0.936,0.04,0.04,0.85,0.018,0.018,5544,20,4.54,-0.08,G,bare water,38.3,30.6,24.3,21.7,32.1,23.5,19.4,"(2.13, -0.81, 0.9)",2017AJ....153..224M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-20 b,9.693402545,1.398392498,1.430174146,1.870619432,0.066206687,0.033664417,3.6961153,1.00E-06,1105,37,1.124614547,0.190458915,1.012442201,0.150169082,0.948,0.051,0.051,0.964,0.018,0.018,5495,50,4.446,0.07,G,bare rocky,9.6,16,1.9,6,1.1,1,5.7,"(4.05, -0.76, 0.62)",2016AJ....152..160B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-20 c,12.74444072,2.161152043,2.224715338,3.04999617,0.063962392,0.056107361,10.8540909,2.80E-06,772,26,0.344639942,0.072555777,1.533076927,0.265516658,0.948,0.051,0.051,0.964,0.018,0.018,5495,50,4.446,0.07,G,gas-rich,33.7,16.4,39,19.5,44.3,19.8,13.3,"(4.02, -0.74, 0.77)",2016AJ....152..160B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-23 b,2.574313463,0.444943068,0.41316142,1.639457102,0.047130184,0.047130184,7.107163,7.50E-05,1815.337451,,0.5841996,0.098804359,1.269727373,0.214746122,1.078,0.077,0.077,1.548,0.048,0.048,5828,100,4.091,-0.05,G,bare water,18.1,21.8,18,17.5,17.7,9.7,5.5,,2023A+A...669A.117L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-23 c,7.818285332,1.334829203,1.207702612,3.008476723,0.074061717,0.074061717,10.742371,3.70E-05,1581.81641,,0.287125358,0.047219089,1.725699466,0.283799234,1.078,0.077,0.077,1.548,0.048,0.048,5828,100,4.091,-0.05,G,gas-rich,32.3,10.6,39.8,14.8,42.9,4.8,10,,2023A+A...669A.117L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-24 b,11.12357669,2.256496986,1.938680509,2.350898446,0.092016073,0.090893926,8.145207,5.90E-05,1483.084345,,0.856136172,0.16484248,1.225928376,0.236043144,1.06,0.069,0.069,1.099,0.039,0.039,5897,219,4.2,-0.37,G,gas-rich,29.2,28.8,22.8,23.3,24.3,19.7,3.2,,2023A+A...669A.117L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
